Gene name	Human gene name
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
	
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
	SP110
	SP110
	
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
Gm16367	PRAMEF12
Gm16367	PRAMEF10
Gm16367	PRAMEF17
Gm16367	PRAMEF20
Gm16367	PRAMEF1
Gm16367	PRAMEF15
Gm16367	PRAMEF14
Gm16367	PRAMEF9
Gm16367	PRAMEF13
Gm16367	PRAMEF5
Gm16367	PRAMEF19
Gm16367	PRAMEF2
Gm16367	PRAMEF25
Gm16367	PRAMEF7
Gm16367	PRAMEF33
Gm16367	PRAMEF11
Gm16367	PRAMEF18
Gm16367	PRAMEF27
Gm16367	PRAMEF26
Gm16367	PRAMEF6
Gm16367	PRAMEF4
Gm16367	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	SP100
	
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	PRAMEF12
	PRAMEF10
	PRAMEF17
	PRAMEF20
	PRAMEF1
	PRAMEF15
	PRAMEF14
	PRAMEF9
	PRAMEF13
	PRAMEF5
	PRAMEF19
	PRAMEF2
	PRAMEF25
	PRAMEF7
	PRAMEF33
	PRAMEF11
	PRAMEF18
	PRAMEF27
	PRAMEF26
	PRAMEF6
	PRAMEF4
	PRAMEF8
	
	
	SP100
	SP110
	
	SP110
	
	
	
Csprs	
	
	
	
Gm28489	
Gm21867	
Gm29448	
Gm20816	
Gm29447	
Gm29446	
Gm29452	
Gm29451	
Gm20817	SYCP3
Gm28633	
Gm21562	
Gm29410	
Gm28298	
Gm21572	
Gm28297	
Gm21753	
Gm21723	
Gm28462	
Gm28296	
Gm21821	
Gm28295	
Gm29134	
Gm28303	
Gm28304	
Gm28824	
Gm21810	
Gm21916	
Gm29191	
Gm28210	
Gm29074	
Gm28211	
Gm28518	
Gm28519	
Gm28520	
Gm21626	
Gm28433	
Gm28521	
Gm28431	
Gm21633	
Gm28432	
Gm28522	
Gm21745	
Gm28517	
Gm29532	
Gm29531	
Gm28464	
Gm28841	
Gm29656	
Gm28842	
Gm29655	
Gm28837	
Gm21647	
Gm29653	
Gm28838	
Gm29654	
Gm28839	
Gm29651	
Gm29652	
Gm29080	
Gm21841	
Gm29081	
Gm29077	
Gm29076	
Gm29079	
Gm29078	
Gm20870	SYCP3
Gm29225	
Gm28483	
Gm29226	
Gm28484	
Gm29227	
Gm29386	
Gm29384	
Gm21896	
Gm29280	
Gm29279	
Gm29182	
Gm28260	
Gm28261	
Gm28264	
Gm28463	
Gm21757	
Gm28968	
Gm28495	
Gm28468	
Gm29255	
Gm28332	
Gm28678	
Gm28333	
Gm28334	
Gm28335	
Gm20903	SYCP3
Gm28336	
Gm28272	
Gm28337	
Gm29256	
Gm28259	
Gm28338	
Gm28273	
Gm29028	
Gm29029	
Gm29615	
Gm29030	
Gm29023	
Gm29025	
Gm29026	
Gm28213	
Gm28212	
Gm28227	
Gm20905	SYCP3
Gm29411	
Gm28222	
Gm28820	
Gm28223	
Gm29412	
Gm29671	
Gm21878	
Gm28162	
Gm28789	
Gm20738	
Gm20814	SYCP3
Gm28787	
Gm28788	
Gm28545	
Gm28547	
Gm29278	
Gm28546	
Gm28608	
Gm28607	
Gm28771	
Gm28772	
Gm28606	
Gm28773	
Gm20850	SYCP3
Gm20897	SYCP3
Gm29574	
Gm28774	
Gm29575	
Gm28775	
Gm21765	
Gm28776	
Gm28176	
Gm28786	
Gm29360	
Gm28121	
Gm29497	
Gm29499	
Gm28123	
Gm28120	
Gm29313	
Gm29498	
Gm36782	
Gm29839	
Gm29314	
Gm29310	
Gm29311	
Gm29312	
Gm29308	
Gm29309	
Gm28702	
Gm28701	
Gm28699	
Gm28705	
Gm28704	
Gm28540	
Gm28537	
Gm28538	
Gm29569	
Gm20867	
Gm29568	
Gm29567	
Gm21198	
Gm29566	
Gm29565	
Gm29147	
Gm29146	
Gm28664	
Gm28663	
Gm29148	
Gm29145	
Gm28817	
Gm28816	
Gm20806	
Gm28815	
Gm28813	
Gm29274	
Gm29275	
Gm29276	SYCP3
Gm21805	
Gm29645	
Gm28312	
Gm29042	
Gm29031	
Gm28311	
Gm29032	
Gm28310	
Gm29606	
Gm28568	
Gm29189	
Gm29286	
Gm29285	
Gm28280	
Gm28159	
Gm28278	
Gm28160	
Gm28157	
Gm28161	
Gm28695	
Gm28696	
Gm28886	
Gm28899	
Gm29426	
Gm28885	
Gm28887	
Gm28896	
Gm29444	
Gm21783	
Gm28895	
Gm28894	
Gm21829	
Gm28457	
Gm29324	
Gm28741	
Gm28742	
Gm28458	
Gm28743	
Gm28461	
Gm28124	
Gm28460	
Gm28126	
Gm28851	
Gm28125	
Gm28456	
Gm29648	
Gm29468	
Gm29646	
Gm29469	
Gm29472	
Gm28549	
Gm29473	
Gm29211	
Gm29212	
Gm29382	
Gm28224	
Gm29210	
Gm28226	
Gm29213	
Gm28225	
Gm28550	
Gm28604	
Gm28829	
Gm21901	
Gm28565	
Gm28566	
Gm28697	
Gm28828	
Gm28554	
Gm28831	
Gm28832	
Gm28658	
Gm29238	
Gm29056	
Gm21088	
Gm29239	
Gm29098	
Gm54343	
Gm29373	
Gm54344	
Gm29370	
Gm21751	
Gm29476	
Gm29166	
Gm21717	
Gm28194	
Gm28753	
Gm28475	
Gm28476	
Gm28193	
Gm28751	
Gm28752	
Gm28726	
Gm29267	
Gm29268	
Gm29269	
Gm28757	
Gm29270	
Gm28348	
Gm28973	
Gm29271	
Gm21734	
Gm28972	
Gm28970	
Gm28971	
Gm54345	
Gm20854	
Gm28349	
Gm21892	
Gm28346	
Gm28345	
Gm29090	
Gm28152	
Gm54346	
Gm29505	
Gm28823	
Gm28871	
Gm28220	
Gm29512	
Gm29511	
Gm20820	SYCP3
Gm28219	
Gm28218	
Gm29121	
Gm54347	
Gm29120	
Gm29117	
Gm28057	
Gm21796	
Gm29302	
Gm20883	SYCP3
Gm29119	
Gm29118	
Gm28440	
Gm29299	
Gm29116	
Gm29298	
Gm29092	
Gm29091	
Gm29320	
Gm29297	
Gm28366	
Gm29319	
Gm28317	
Gm28318	
Gm28313	
Gm28314	
Gm28315	
Gm29115	
Gm28316	
Gm28944	
Gm20906	SYCP3
Gm28943	
Gm29111	
Gm28946	
Gm28110	
Gm28945	
Gm28109	
Gm28108	
Gm28106	
Gm28949	
Gm28948	
Gm28716	
Gm28717	
Gm28718	
Gm28950	
Gm29162	
Gm29169	
Gm21777	
Gm28866	
Gm29063	
Gm28737	
Gm28405	
Gm28738	
Gm28406	
Gm28978	
Gm29436	
Gm28197	
Gm20819	
Gm29437	
Gm28736	
Gm28977	
Gm21840	
Gm28407	
Gm28735	
Gm29391	
Gm29392	
Gm28672	
Gm28734	
Gm28232	
Gm28670	
Gm28732	
Gm28673	
Gm28733	
Gm28674	
Gm28233	
Gm28235	
Gm28234	
Gm28930	
Gm28236	
Gm29504	
Gm20747	
Gm29250	
Gm29251	
Gm29252	
Gm29248	
Gm29484	
Gm28908	
Gm28907	
Gm20929	SYCP3
Gm28910	
Gm28909	
Gm28276	
Gm28274	
Gm28275	
Gm28290	
Gm28292	
Gm28291	
Gm28293	
Gm28698	
Gm29305	
Gm29303	
Gm29307	
Gm29557	
Gm54348	
Gm29306	
Gm29558	
Gm29555	
Gm28355	
Gm28354	
Gm28352	
Gm28200	
Gm28201	
Gm28202	
Gm28204	
Gm28205	
Gm28206	
Gm28207	
Gm28208	
Gm29224	
Gm29222	
Gm29221	
Gm29220	
Gm29132	
Gm21450	
Gm21843	
Gm28889	
Gm28691	
Gm28692	
Gm28690	
Gm28689	
Gm28687	
Gm20987	
Gm21918	
Gm29207	
Gm29204	
Gm21577	
Gm29206	
Gm29614	
Gm29613	
Gm29612	
Gm29343	
Gm29342	
Gm28598	
Gm28599	
Gm28185	
Gm29037	
Gm20823	
Gm29548	
Gm29547	
Gm29545	
Gm29544	
Gm29209	
Gm29549	
Gm21617	
Gm28589	
Gm29420	
Gm29421	
Gm21627	SYCP3
Gm29422	
Gm28808	
Gm29060	
Gm29061	
Gm29062	
Gm29057	
Gm29625	
Gm29058	
Gm29059	
Gm29628	
Gm29623	
Gm29622	
Gm29265	
Gm20908	SYCP3
Gm29259	
Gm28860	
Gm28252	
Gm28859	
Gm28254	
Gm28861	
Gm28255	
Gm20924	
Gm21848	
Gm29457	
Gm20736	SYCP3
Gm28558	
Gm28560	
Gm28561	
Gm29584	
Gm28134	
Gm28135	
Gm28133	
Gm28137	
Gm28138	
Gm21837	
Gm29378	
Gm29379	
Gm29380	
Gm29381	
Gm28795	
Gm20852	
Gm29003	
Gm29001	
Ssty2	
Gm28646	
Gm28612	
Gm28613	
Gm21794	
Gm29219	
Gm29632	
Gm29631	
Gm29637	
Gm29082	
Gm29217	
Gm29636	
Gm29635	
Gm29634	
Gm29662	
Gm29660	
Gm29661	
Gm29659	
Gm20937	SYCP3
Gm29450	
Gm29449	
Gm37690	
Gm32114	
Gm37075	
Gm37921	
Gm32180	
Gm38371	
Gm37657	
Gm37448	
Gm33163	
Gm37721	
Gm37129	
Gm37990	
Gm21366	SYCP3
Gm33954	
Gm37538	
Gm34274	
Gm34217	
Gm37952	
Gm37627	
Gm37454	
Gm38138	
Gm29740	
Gm37840	
Gm37574	
Gm37172	
Gm35670	
Gm37687	
Gm38296	
Gm38290	
Gm38121	
Gm36047	
Gm36345	
Chst9	CHST9
Gm37157	
Gm38017	
Gm36468	
Gm21845	
Gm20809	
Gm37434	
Gm10036	
Gm37071	
Gm24228	
Gm4835	
Gm54353	RN7SKP75
Gm54353	RN7SKP240
Gm54354	
Gm37547	
Gm7665	
Gm36968	
Cdh2	CDH2
Gm37237	
Gm38350	
Gm20858	
Gm31422	
Gm37798	
Gm37318	
Gm31572	
Gm37346	
Gm38136	
Gm22271	
Gm37991	
Klf9	KLF9
Gm37808	
Gm32181	
Gm28662	
Mir1192	
Gm28780	
Gm7670	
Gm28853	
Gm22470	
Habp2	HABP2
Gm54355	
Gm50082	
Cep120	CEP120
Gm28852	
Gm28855	
Gm28246	
Gm28247	
Gm28248	
Gm28249	
Gm28250	
Gm28251	
Gm28243	
Gm28244	
Gm29021	
Gm28880	
Gm28452	
Gm28454	
Gm28878	
Gm28879	
Gm29369	
Gm29399	
Gm29400	
Gm29401	
Gm28799	
Gm28938	
Gm28937	
Gm28936	
Gm21642	
Gm29122	
Gm28939	
Gm28983	
Gm28985	
Gm50083	
Gm20811	
Smc5	SMC5
Gm54356	
Gm38432	
Gm28725	
Gm54357	
Gm54358	
Csnk1g3	CSNK1G3
Gm28984	
Gm28987	
Gm28986	
Gm34396	
Gm29171	
Krtap20-2	
Gm28129	
Gm54382	
Krtap21-1	
Gm28127	
Krtap6-2	
Ifitm7	
Ifitm7	IFITM3
Ifitm7	IFITM2
Ifitm7	IFITM1
Gm28128	
Gm28132	
Gm23655	RNU6-930P
Gm28130	
Krtap8-1	KRTAP8-1
Krtap7-1	KRTAP7-1
Gm5507	
Krtap11-1	KRTAP11-1
Gm28131	
Gm8594	
Gm49696	
Gm5821	
Gm17844	
Gm50365	
Gm50366	
Gm29316	
Dsc3	DSC3
Bmerb1	BMERB1
Gm29315	
Gm28216	
Gm28217	
Gm28093	
Gm28092	
Gm28091	
Gm29580	
Gm28089	
Gm15806	
Gm15807	
Gm15808	
Ndufb4	NDUFB4
Gm28088	
Gm21529	
Gm4600	
Gm29581	
Gm21539	
Marf1	MARF1
Gm29578	
Zfp608	ZNF608
Gm21908	
Gm21780	
Gm28486	
Gm28487	
Rbmyf4	RBMY1B
Rbmyf4	RBMY1A1
Rbmyf4	RBMY1D
Rbmyf4	RBMY1J
Rbmyf4	RBMY1E
Rbmyf4	RBMY1F
Rbmyf5	RBMY1B
Rbmyf5	RBMY1A1
Rbmyf5	RBMY1D
Rbmyf5	RBMY1J
Rbmyf5	RBMY1E
Rbmyf5	RBMY1F
Gm24183	
Gm34073	
Gm22597	
Gm29288	
Gm37828	
Rbmyf6	RBMY1B
Rbmyf6	RBMY1A1
Rbmyf6	RBMY1D
Rbmyf6	RBMY1J
Rbmyf6	RBMY1E
Rbmyf6	RBMY1F
Gm37337	
Gm24514	
Gm26959	
Gm8614	
Gm6942	
Gm54360	
Gm6944	
Gm54361	
Gm23555	
Gm54362	
Gm50385	
Gm21139	
Gm8629	
Rbmyf7	RBMY1B
Rbmyf7	RBMY1A1
Rbmyf7	RBMY1D
Rbmyf7	RBMY1J
Rbmyf7	RBMY1E
Rbmyf7	RBMY1F
Gm24263	
Gramd2b	GRAMD2B
Mamdc2	MAMDC2
Gm54384	
Mir484	MIR484
Gm21147	
Fstl1	FSTL1
Rbmyf8	RBMY1B
Rbmyf8	RBMY1A1
Rbmyf8	RBMY1D
Rbmyf8	RBMY1J
Rbmyf8	RBMY1E
Rbmyf8	RBMY1F
Gm24142	RNU6-318P
AF357341	
Gm22170	
Mir882	
Gm22981	
Gm21156	
Gm25856	
Rhoay-ps2	
Gm35890	
Gm50445	
Gm23787	SNORD114-14
Gm4929	
Gm50443	
Gm2316	
Cfap95	CFAP95
Rbmyf9	RBMY1B
Rbmyf9	RBMY1A1
Rbmyf9	RBMY1D
Rbmyf9	RBMY1J
Rbmyf9	RBMY1E
Rbmyf9	RBMY1F
Gm25854	SNORD114-22
Gm25854	SNORD114-10
Btnl12	BTN3A1
Gm49374	
Gm22205	SNORD114-24
Gm7126	
Gm54385	RNA5SP535
Gm25224	SNORD114-30
Lrrc58	LRRC58
Gm9194	
Mir379	
Gm50422	
Mir411	
Mir299a	MIR299
Gm48482	
Gm9493	
Mir299b	
Gm54365	
Gm22144	
Gm2325	
Mir380	
Gm21542	
Lratd1	LRATD1
Gm6563	
Gm28649	
Gm15725	
Ptar1	PTAR1
Gpr156	GPR156
Mir1197	
Mir323	MIR323A
Mir758	
Mir329	
Mir494	MIR494
Gm48498	
Dsc2	DSC2
Gm9847	
Mir679	
Mir1193	
Gm25414	
Mir666	
Gm48504	
Mir543	
Gm26449	
Mir495	
Gm9202	
Mir667	
Mir376c	
Mir654	
Mir376b	
Gm54366	
Mir376a	
Gm8521	
Mir300	
Mir381	MIR381
Gm25140	RNU1-78P
Gm25140	RNU1-119P
Gm18177	
Mir487b	
Gm54367	
Gm54368	
Gm50299	
Gsk3b	GSK3B
Mir539	
Gm54369	
Mir544	
Gm19084	
Gm28429	
Apba1	APBA1
Gm48541	
Gm28413	
Gm17915	
Gm28412	
Gm8525	
Trib2	TRIB2
Gm28414	
Gm28648	
Gm28647	
Gm29435	
Vmn2r-ps139	
Gm29038	
Mir6387	
Gm48557	
Gm28191	
Gm18114	
Gm28241	
Vrtn	VRTN
Gm28242	
Gm37222	
Gm28357	
Gm29352	
Gm29351	
Gm29350	
Mir382	MIR382
Gm29349	
Mir134	MIR134
Mir668	MIR668
Mir485	
Mir453	
Mir154	MIR154
Gm29355	
Mir496a	MIR496
Mir377	MIR377
Syndig1l	SYNDIG1L
Gm50300	
Gm20918	
Entrep1	ENTREP1
Gm29161	
Gm28767	
Gm29160	
Gm20915	
Gm28766	
Gm29159	
Gm25617	SNORA17A
Gm25617	
Gm29198	
Mir541	MIR541
Gm29193	
Gm54371	MIR409
Nde1	NDE1
Gm48573	
Gm28430	
Mir409	MIR409
Mir412	MIR412
Mir369	
Gm21746	
Mir410	MIR410
Nubpl	NUBPL
Gm28593	
Gm50305	
Gm20873	
Tjp2	TJP2
Gm28916	
Gm28443	
Gm20830	
Gm28442	
Gm20788	
Gm28997	
Gm28998	SYCP3
Gm28398	
Gm28397	
Gm28400	
Gm28399	
Gm28395	
Gm21788	
Gm28394	
Gm28396	
Mir3072	
Gm9661	
Gm28393	
Gm3379	
Npc2	NPC2
Gm20826	
Vmn2r-ps149	
Gm28576	SYCP3
Gm28575	
Gm47187	
Gm28574	
Dsc1	DSC1
Gm28573	
Isca2	ISCA2
Gm28572	
Gm28571	
Gm28570	
Gm29049	
Gm20825	
Gm29047	
Gm29045	
Gm29046	
Gm29043	
Arhgap5	ARHGAP5
Gm37951	
Gm20824	SYCP3
Gm28146	
Gm28145	
Gm28148	
Gm28147	
Gm28142	
Gm28141	
Gm28143	
Gm28150	
Gm28149	
Gm28330	
Gm28331	
Gm28099	
Gm24859	RNU6-8
Gm24859	RNU6-7
Gm23296	RNU6-8
Gm23296	RNU6-7
Gm20815	
Gm48609	
Akap6	AKAP6
Gm23972	
Tiam1	TIAM1
1700029F12Rik	
Gm28328	
Gm28270	
Gm28327	
Gm28097	
Gm29329	
Gm50310	
Fxn	FXN
Gm28848	
Gm5791	
Gm29471	
Gm4935	
Gm29474	
Gm7065	
Gm28506	
Cntnap3	CNTNAP3
Cntnap3	CNTNAP3B
Cntnap3	CNTNAP3C
Gm28507	
Gm29142	
Gm21310	
Gm28509	
Gm28508	
Gm20834	
Gm28953	
Gm20776	
Gm20828	
Gm28957	
Gm16216	
Gm28952	
Gm28391	
Pip5k1b	PIP5K1B
Gm28389	
Gm28655	
Dsg1c	DSG1
Gm28654	
Ofcc1	
Gm28656	
Gm35108	
Gm37739	
Gm47488	
n-R5s58	
Npas3	NPAS3
Gm37654	
Gm37572	
Gm37344	
Gm37059	
Gm31942	
Dsg1a	DSG1
Gm37440	
Gm38185	
Fam169a	FAM169A
Gm37577	
Egln3	EGLN3
Gm20822	
Gm32447	
Gm37158	
Gm36998	
Gm22220	RNU1-31P
Gm21809	
Gm54374	
Gm47553	
Gm7557	
Gm37635	
Gm35070	
Dsg1b	DSG1
Ltbp2	LTBP2
Gm38094	
Gm21763	
Gm38168	
Gm37740	
Pabir1	PABIR1
Tmem252	TMEM252
Gm54350	
Gm37723	
Gm36261	
Pgm5	PGM5
Gm37898	
Gm36467	
Gm8352	
Gm37927	
Gm47038	
Gm36929	
Gm47039	
Gm38174	
Prp2rt	PLP2
Aldh7a1	ALDH7A1
Gm47041	
Nsa2	NSA2
Gm30598	
Gm17800	
Gm20909	
Gm50342	
Gm10053	CYCS
Foxd4	FOXD4
Foxd4	FOXD4L4
Foxd4	FOXD4L5
Foxd4	FOXD4L1
Foxd4	FOXD4L6
Foxd4	FOXD4L3
Gm20865	
Tfap2a	TFAP2A
Gm37462	
Nrap	NRAP
Gm37658	
Gm32347	
Gm2805	
Gm7307	
Gm31123	
Gm49704	
Sod1	SOD1
Gm38370	
Gm38054	
Gm37476	
Gm37369	
Gm38181	
Scaf4	SCAF4
Zfy1	ZNF419
Zfy1	ZNF562
Zfy1	ZNF561
Zfy1	ZNF134
Zfy1	ZNF154
Zfy1	ZNF772
Zfy1	ZNF256
Zfy1	ZNF549
Zfy1	ZNF418
Zfy1	ZNF584
Zfy1	ZNF586
Zfy1	ZNF610
Zfy1	ZNF480
Zfy1	ZNF773
Zfy1	ZNF587B
Zfy1	ZNF552
Zfy1	ZNF793
Zfy1	ZNF792
Zfy1	ZNF304
Zfy1	ZNF548
